a b
100 11.407206651543186
139 18.53658191272916
195 16.002783371204423
273 19.895196869375624
383 24.043914403249456
536 29.257529196367116
749 35.17948513963972
1049 42.50670233810101
1467 53.30872518617322
2053 62.99406546840096
2872 71.19116686325674
4019 77.34524363602968
5623 83.78076793475667
7867 87.22034649816027
11006 89.49418909741944
15399 91.54446840285202
21544 91.00866127934614
30141 89.69486337853031
42169 87.07880175675665
58997 83.79590612429378
82540 80.87651659962192
115478 81.09600014471523
161559 84.32817351725197
226030 86.76918428815637
316227 89.65974180839154
442418 92.75657399868726
618965 94.7687643291685
865964 97.58656201399334
1211527 98.94698773195321
1694988 98.91676294626704
2371373 98.91905567461555
3317671 98.94982756543045
4641588 99.08521129655992
6493816 99.33511781675479
9085175 99.0431462763168
12710617 99.18855339410013
17782794 98.92501308420745
24879023 99.39845463244893
34807005 98.59502261886628
48696752 99.3129051078236
68129206 98.764869807823
95316188 98.82206235180598
133352143 98.64890477081654
186566357 98.99819085804513
261015721 98.72496809903798
365174127 98.683599702142
510896977 99.1509279951255
714770576 98.80670198074067
