a b
100 10.353571926428836
139 17.521907625609686
195 16.782628462654646
273 19.16296086281094
383 23.325916381680738
536 29.28396411242285
749 36.36561447413187
1049 44.216232112551346
1467 53.280681493202295
2053 62.61530711031769
2872 71.4742247116495
4019 79.1519740080789
5623 85.17857262293909
7867 89.5497235006502
11006 92.58555329951648
15399 94.65246566675172
21544 96.02743422891481
30141 96.95855693269357
42169 97.516955084428
58997 97.9184701829771
82540 98.00604317300467
115478 97.83943984245781
161559 96.45823804760961
226030 92.10505704311936
316227 77.96207114792337
442418 55.83328264122436
618965 45.26079122653211
865964 42.73351978366195
1211527 41.74095711073969
1694988 41.060926477607396
2371373 41.88773101994984
3317671 44.10090069797047
4641588 47.26957821246069
6493816 52.487772046477545
9085175 58.49835501473708
12710617 66.53388873933586
17782794 75.09237812411797
24879023 81.6833222818438
34807005 87.67914348788722
48696752 92.27697204760493
68129206 95.36921221605414
95316188 98.71718523028143
133352143 99.5673599234317
186566357 99.57904645368261
261015721 99.50647691665222
365174127 99.52259009409691
510896977 99.42213617334438
714770576 99.51298904767913

