a b
100 4.066913753380748
139 15.981172987871725
195 16.18438709876448
273 18.36392700763748
383 26.017394594786353
536 21.09981047310748
749 34.21772151898735
1049 39.4909434610986
1467 49.48979591836735
2053 56.44980826694332
2872 64.56353256295516
4019 72.13261500207211
5623 73.44771545895517
7867 74.86653988994763
11006 71.74885523374301
15399 75.80039062327353
21544 81.75139385997608
30141 86.31601765276629
42169 86.48946360153256
58997 86.20572395962488
82540 90.14960696774375
115478 94.9981981981982
161559 92.19072253442138
226030 94.47695467777926
316227 94.07081460467201
442418 92.70042064853385
618965 91.25616647692891
865964 95.80626124672592
1211527 93.78870814380798
1694988 93.82601465138495
2371373 95.97106677464478
3317671 95.45187440220492
4641588 94.19500443463185
6493816 94.8259007431411
9085175 94.10545946258662
12710617 97.24999238706773
17782794 94.41109240786139
24879023 96.73332713900781
34807005 95.29887248599843
48696752 94.55394393232709
68129206 95.02181732895701
95316188 91.94005852079312
133352143 92.72172707325265
186566357 94.28594792484134
261015721 93.10923996843069
365174127 93.32552693208432
510896977 93.92593935000603
714770576 92.55643744085897
