  L  FPR   FNR   Error   1-E   Phi   percentDup
1  1.94  52.55  54.48  45.52  46.13  3.74
2  5.44  30.63  36.08  63.92  45.13  3.74
3  8.96  23.3  32.26  67.74  40.29  3.74
5  15.41  16.95  32.36  67.64  33.44  3.74
10  29.65  11.44  41.09  58.91  23.98  3.74
21  53.13  6.43  59.56  40.44  15.41  3.74
31  67.63  4.21  71.84  28.16  11.52  3.74
41  77.48  2.98  80.46  19.54  8.98  3.74
50  83.75  1.85  85.6  14.4  7.51  3.74
100  97.28  0.28  97.56  2.44  2.89  3.74
