a b
100  10.6069237795
139  17.6562207168
195  16.8989221375
273  19.1240924303
383  23.356069549
536  29.2450807209
749  36.2628902386
1049  44.3713556703
1467  53.3079060872
2053  62.6621227552
2872  71.5321726469
4019  79.1723948093
5623  85.2305375374
7867  89.6265894171
11006  92.6472302052
15399  94.6863631505
21544  96.0722178332
30141  97.0147241274
42169  97.6680104061
58997  98.1315406327
82540  98.4283696204
115478  98.590847188
161559  98.5362911242
226030  98.0347384956
316227  95.4115166824
442418  80.3131848013
618965  49.6432385978
865964  41.1054135056
1211527  38.9237736486
1694988  37.6750665246
2371373  37.2411967813
3317671  36.9330446941
4641588  37.3625694101
6493816  37.9435089549
9085175  38.8395950107
12710617  39.6614870561
17782794  40.9198093273
24879023  42.7508022791
34807005  44.6094431587
48696752  48.29790566
68129206  52.4736559711
95316188  59.2230198866
133352143  67.444865847
186566357  76.2578398106
261015721  82.8582119382
365174127  88.2686373279
510896977  93.0184159592
714770576  95.8588550319
