L  FPR   FNR   Error   1-E   Phi   percentDup
1  0.02  51.95  51.97  48.03  47.97  0.04
2  0.06  26.59  26.65  73.35  48.77  0.04
3  0.1  14.63  14.74  85.26  46.33  0.04
5  0.2  12.68  12.88  87.12  36.49  0.04
10  0.41  7.07  7.48  92.52  28.03  0.04
21  0.91  0  0.91  99.09  20.71  0.04
31  1.6  0.24  1.85  98.15  15.63  0.04
41  2.12  0.24  2.37  97.63  13.59  0.04
50  2.1  0.73  2.83  97.17  13.58  0.04
100  4.19  0.49  4.68  95.32  9.59  0.04
